,League,Season,Value Aug 1 of Year
0,2. Bundesliga,2018/ 2019,25815714.285714287
1,2. Bundesliga,2019/ 2020,28607500.0
2,2. Bundesliga,2020/ 2021,21238333.333333332
3,2. Bundesliga,2021/ 2022,29363076.923076924
4,2. Bundesliga,2022/ 2023,18338000.0
5,2. Bundesliga,2023/ 2024,22816000.0
6,2. Bundesliga,2024/ 2025,29659230.769230768
7,Allsvenskan,2018/ 2019,9400000.0
8,Allsvenskan,2019/ 2020,11679000.0
9,Allsvenskan,2020/ 2021,9581818.181818182
10,Allsvenskan,2021/ 2022,12198333.333333334
11,Allsvenskan,2022/ 2023,14129166.666666666
12,Allsvenskan,2023/ 2024,14135714.285714285
13,Allsvenskan,2024/ 2025,17826250.0
14,Austria Bundesliga,2018/ 2019,30054545.454545453
15,Austria Bundesliga,2019/ 2020,24902222.222222224
16,Austria Bundesliga,2020/ 2021,31206666.666666668
17,Austria Bundesliga,2021/ 2022,26704545.454545453
18,Austria Bundesliga,2022/ 2023,39740000.0
19,Austria Bundesliga,2023/ 2024,33168181.818181816
20,Austria Bundesliga,2024/ 2025,37250000.0
21,Brasil Serie A,2018/ 2019,34457500.0
22,Brasil Serie A,2019/ 2020,60905714.28571428
23,Brasil Serie A,2020/ 2021,49480000.0
24,Brasil Serie A,2021/ 2022,58746250.0
25,Brasil Serie A,2022/ 2023,77463571.42857143
26,Brasil Serie A,2023/ 2024,82270625.0
27,Brasil Serie A,2024/ 2025,80710500.0
28,Bundesliga,2018/ 2019,155830869.5652174
29,Bundesliga,2019/ 2020,249528888.8888889
30,Bundesliga,2020/ 2021,245300000.0
31,Bundesliga,2021/ 2022,250432941.17647058
32,Bundesliga,2022/ 2023,230517777.7777778
33,Bundesliga,2023/ 2024,230881111.1111111
34,Bundesliga,2024/ 2025,218120000.0
35,Championship,2018/ 2019,53050526.315789476
36,Championship,2019/ 2020,59951666.666666664
37,Championship,2020/ 2021,44848333.333333336
38,Championship,2021/ 2022,53697222.222222224
39,Championship,2022/ 2023,52035000.0
40,Championship,2023/ 2024,84548095.23809524
41,Championship,2024/ 2025,66960000.0
42,Denmark Superliga,2018/ 2019,10977500.0
43,Denmark Superliga,2019/ 2020,16043000.0
44,Denmark Superliga,2020/ 2021,18260000.0
45,Denmark Superliga,2021/ 2022,18625454.545454547
46,Denmark Superliga,2022/ 2023,23020000.0
47,Denmark Superliga,2023/ 2024,24065000.0
48,Denmark Superliga,2024/ 2025,29151666.666666668
49,Eliteserien,2018/ 2019,7591666.666666667
50,Eliteserien,2019/ 2020,6699375.0
51,Eliteserien,2020/ 2021,5905625.0
52,Eliteserien,2021/ 2022,6920625.0
53,Eliteserien,2022/ 2023,8669333.333333334
54,Eliteserien,2023/ 2024,11320625.0
55,Eredivisie,2018/ 2019,38290000.0
56,Eredivisie,2019/ 2020,65479285.71428572
57,Eredivisie,2020/ 2021,58650000.0
58,Eredivisie,2021/ 2022,58378750.0
59,Eredivisie,2022/ 2023,63837692.307692304
60,Eredivisie,2023/ 2024,60808000.0
61,Eredivisie,2024/ 2025,90135333.33333333
62,J League,2018/ 2019,11241500.0
63,J League,2019/ 2020,21282857.14285714
64,J League,2020/ 2021,18055000.0
65,J League,2021/ 2022,17415333.333333332
66,J League,2022/ 2023,15311176.470588235
67,J League,2023/ 2024,15227647.05882353
68,J League,2024/ 2025,14721500.0
69,Jupiler Pro League,2018/ 2019,35430625.0
70,Jupiler Pro League,2019/ 2020,59376363.63636363
71,Jupiler Pro League,2020/ 2021,54077272.72727273
72,Jupiler Pro League,2021/ 2022,48520000.0
73,Jupiler Pro League,2022/ 2023,52974285.71428572
74,Jupiler Pro League,2023/ 2024,55897857.14285714
75,Jupiler Pro League,2024/ 2025,70877142.85714285
76,K League 1,2018/ 2019,12172222.222222222
77,K League 1,2019/ 2020,13375555.555555556
78,K League 1,2020/ 2021,12795555.555555556
79,K League 1,2021/ 2022,13038000.0
80,K League 1,2022/ 2023,13560000.0
81,K League 1,2023/ 2024,13210000.0
82,La Liga,2018/ 2019,233021500.0
83,La Liga,2019/ 2020,309832500.0
84,La Liga,2020/ 2021,270037000.0
85,La Liga,2021/ 2022,245976500.0
86,La Liga,2022/ 2023,246320000.0
87,La Liga,2023/ 2024,233180000.0
88,La Liga,2024/ 2025,290972352.9411765
89,LaLiga2,2018/ 2019,15552000.0
90,LaLiga2,2019/ 2020,22970625.0
91,LaLiga2,2020/ 2021,17829375.0
92,LaLiga2,2021/ 2022,21128666.666666668
93,LaLiga2,2022/ 2023,23590000.0
94,LaLiga2,2023/ 2024,23772222.222222224
95,LaLiga2,2024/ 2025,21953636.363636363
96,Liga BetPlay,2018/ 2019,14471000.0
97,Liga BetPlay,2019/ 2020,15543000.0
98,Liga BetPlay,2020/ 2021,12582500.0
99,Liga BetPlay,2021/ 2022,12573000.0
100,Liga BetPlay,2022/ 2023,10930000.0
101,Liga BetPlay,2023/ 2024,10653500.0
102,Liga MX Apertura,2018/ 2019,36460666.666666664
103,Liga MX Apertura,2019/ 2020,39866470.5882353
104,Liga MX Apertura,2020/ 2021,38405294.11764706
105,Liga MX Apertura,2021/ 2022,42156111.11111111
106,Liga MX Apertura,2022/ 2023,45153333.333333336
107,Liga MX Apertura,2023/ 2024,45616666.666666664
108,Liga MX Apertura,2024/ 2025,47175000.0
109,Liga Portugal,2018/ 2019,57068750.0
110,Liga Portugal,2019/ 2020,91373636.36363636
111,Liga Portugal,2020/ 2021,75355454.54545455
112,Liga Portugal,2021/ 2022,95142500.0
113,Liga Portugal,2022/ 2023,81978461.53846154
114,Liga Portugal,2023/ 2024,82018000.0
115,Liga Portugal,2024/ 2025,102036000.0
116,Liga Profesional,2018/ 2019,32454761.904761903
117,Liga Profesional,2019/ 2020,38159500.0
118,Liga Profesional,2020/ 2021,35502500.0
119,Liga Profesional,2021/ 2022,34115000.0
120,Liga Profesional,2022/ 2023,28068333.333333332
121,Liga Profesional,2023/ 2024,29565384.615384616
122,Liga Profesional,2024/ 2025,33293928.57142857
123,Ligue 1,2018/ 2019,137743333.33333334
124,Ligue 1,2019/ 2020,178443333.33333334
125,Ligue 1,2020/ 2021,166967222.2222222
126,Ligue 1,2021/ 2022,186822631.57894737
127,Ligue 1,2022/ 2023,178038421.0526316
128,Ligue 1,2023/ 2024,194615555.55555555
129,Ligue 1,2024/ 2025,208022222.2222222
130,Ligue 2,2018/ 2019,16691111.111111112
131,Ligue 2,2019/ 2020,20172727.272727273
132,Ligue 2,2020/ 2021,15351818.181818182
133,Ligue 2,2021/ 2022,15240769.23076923
134,Ligue 2,2022/ 2023,23765000.0
135,Ligue 2,2023/ 2024,19339333.333333332
136,Ligue 2,2024/ 2025,21348333.333333332
137,MLS,2018/ 2019,20344166.666666668
138,MLS,2019/ 2020,24197916.666666668
139,MLS,2020/ 2021,23505384.615384616
140,MLS,2021/ 2022,35510740.74074074
141,MLS,2022/ 2023,37445714.28571428
142,MLS,2023/ 2024,42562068.96551724
143,MLS,2024/ 2025,43265172.4137931
144,Premier League,2018/ 2019,396080526.31578946
145,Premier League,2019/ 2020,449334000.0
146,Premier League,2020/ 2021,415891500.0
147,Premier League,2021/ 2022,440525000.0
148,Premier League,2022/ 2023,461572500.0
149,Premier League,2023/ 2024,515133000.0
150,Premier League,2024/ 2025,583942000.0
151,Premiership,2018/ 2019,12543333.333333334
152,Premiership,2019/ 2020,16717000.0
153,Premiership,2020/ 2021,20412000.0
154,Premiership,2021/ 2022,24514545.454545453
155,Premiership,2022/ 2023,29052727.272727273
156,Premiership,2023/ 2024,28900000.0
157,Premiership,2024/ 2025,26517500.0
158,Serie A,2018/ 2019,188652608.6956522
159,Serie A,2019/ 2020,268197368.42105263
160,Serie A,2020/ 2021,239241052.63157895
161,Serie A,2021/ 2022,244978500.0
162,Serie A,2022/ 2023,225502000.0
163,Serie A,2023/ 2024,226406000.0
164,Serie A,2024/ 2025,238728000.0
165,Serie B,2018/ 2019,13853333.333333334
166,Serie B,2019/ 2020,14984000.0
167,Serie B,2020/ 2021,14532000.0
168,Serie B,2021/ 2022,29378888.888888888
169,Serie B,2022/ 2023,27550714.285714287
170,Serie B,2023/ 2024,27263333.333333332
171,Serie B,2024/ 2025,27966000.0
172,Süper Lig,2018/ 2019,27178421.05263158
173,Süper Lig,2019/ 2020,35579285.71428572
174,Süper Lig,2020/ 2021,35645714.28571428
175,Süper Lig,2021/ 2022,45161875.0
176,Süper Lig,2022/ 2023,59964285.71428572
177,Süper Lig,2023/ 2024,56115000.0
178,Süper Lig,2024/ 2025,58923750.0
